Year,Total,Female,Male,SexUnknown,Released,Killed,LengthAvg,LengthMax,WeightAvg,WeightMax,Kg,FultonAvg,FultonMax,Upper,Middle,Lower,Haderis
2003,166,0,0,166,0,166,62.81927710843374,96,3.260843373493976,10,541.3,1.1539006507279783,1.5597568230292653,8,83,75,0
2004,529,0,0,529,0,529,64.39848197343454,104,3.353231939163498,12.2,1763.8,1.1282418088803021,1.5743440233236152,148,163,218,0
2005,355,0,0,355,0,355,66.42535211267605,101,3.743019943019943,11.4,1313.8,1.1424678231819583,1.5040565805098751,73,130,152,0
2006,270,0,0,270,0,270,61.93703703703704,92,2.9540740740740743,10.2,797.6,1.0983398032597251,2.1947873799725652,66,116,88,0
2007,555,0,0,555,0,555,64.01446654611212,99,3.4918330308529946,11.1,1924,1.1606706949056174,1.5960302375183182,109,201,245,0
2008,629,0,0,629,1,628,60.40063593004769,94,2.9205169628432954,9.4,1807.8,1.1545926248129958,1.8765246762994934,123,235,271,0
2009,478,0,0,478,0,478,63.36401673640167,96,3.29664570230608,12.7,1572.5,1.1592000698499136,1.5719710309923158,101,153,224,0
2010,1288,1,1,1286,0,1288,60.82142857142857,98,2.9455399061032863,12.2,3764.4,1.1572971800678045,1.6,188,336,764,0
2011,1024,0,0,1024,0,1024,60.873046875,96,2.910914454277286,10.8,2960.4,1.1506702591049316,1.9475993275657058,127,213,684,0
2012,1398,0,0,1398,0,1398,59.2419470293486,97,2.789080459770115,10.9,3882.4,1.1676456764189684,2.32,169,300,929,0
2013,1179,0,0,1179,0,1179,61.56112054329372,94,3.0614139693356046,11.7,3594.1,1.1647725692266164,1.6750113791533907,114,227,838,0
2014,1584,0,0,1584,0,1584,57.48232323232323,96,2.5132278481012658,11.2,3970.9,1.148037809144696,1.6374021170646196,104,241,1239,0
2015,2476,0,0,2476,0,2476,58.66989898989899,96,2.6843724696356275,11.9,6630.4,1.1842126128059063,2.103681442524418,120,375,1981,0
2016,1717,0,1,1716,0,1717,60.49037900874636,102,2.96074985354423,12.1,5054,1.1744562002258205,1.7547607421874998,124,395,1198,0
2017,1112,0,0,1112,262,850,58.760791366906474,91,3.022470588235294,9.8,2569.1,1.2008617574704434,1.755829903978052,42,369,701,0
2018,757,0,0,757,162,595,57.94848084544254,98,2.6503367003367004,10,1574.3,1.1560992269467674,2.34375,24,198,535,0
2019,1069,412,256,401,53,1016,54.748362956033674,92,2.73515625,10.4,1750.5,1.1784516702065262,2.1382545293432096,15,195,818,41
2020,20,8,4,8,12,8,59.65,78,2.1285714285714286,2.9,14.9,0.9690346900303854,1.1597819609913336,0,3,17,0
